"";"meas grh temp";"calc heat t";"calc vent t l";"calc lee";"calc wind";"calc cool temp";"ats active strat";"meas RH";"meas HD";"meas AH";"calc wt 1";"meas wt 1";"calc curtain pos.";"meas curtain";"radiation";"radiation sum";"PAR sum";"used PAR"
"";"Climate:Cmp 9";"Climate:Cmp 9";"Climate:CMP 9 VENT.CONTR";"Climate:CMP 9 VENT.CONTR";"Climate:CMP 9 VENT.CONTR";"Climate:ATU STRAT 8";"Climate:ATU STRAT 8";"Climate:Cmp 9";"Climate:Cmp 9";"Climate:Cmp 9";"Climate:CMP 9 WATER TEMP 1";"Climate:CMP 9 WATER TEMP 1";"Climate:CMP 9 CURTAIN";"Climate:CMP 9 CURTAIN";"Climate:WEATHER RAD SENS";"Climate:WEATHER RAD SENS";"Climate:Cmp 9";"Climate:Cmp 9"
"";"°C";"°C";"°C";"%";"%";"°C";"";"%";"g/m3";"g/m3";"°C";"°C";"%";"%";"W/m²";"J/cm²";"mol/m²";"umol/s/m²"
"19-12-2017 00:00:00";23.7;17.6;19.9;0;0;24;2;88;2.7;18.7;0;26;98;98;3;1987;15.81;38
"19-12-2017 00:05:00";23.4;17.6;19.9;0;0;24;2;88;2.5;18.5;0;26;98;98;0.15;1987;15.83;38
"19-12-2017 00:10:00";23.1;17.6;19.9;0;0;24;2;90;2.01;18.7;0;27;98;98;2.8;1987.93;15.84;38
"19-12-2017 00:15:00";22.9;17.6;19.9;0;0;24;2;91;1.81;18.6;0;27;98;98;3;1988;15.85;38
"19-12-2017 00:20:00";22.8;17.6;19.9;0;0;24;2;91;1.71;18.6;0;27;98;98;0;1988;15.86;38
"19-12-2017 00:25:00";22.8;17.6;19.9;0;0;24;2;92;1.7;18.7;0;27;98;98;0;1988;15.87;38
"19-12-2017 00:30:00";22.71;17.6;19.9;0;0;24;2;92;1.7;18.51;0;27;98;98;0;1988;15.88;38
"19-12-2017 00:35:00";22.6;17.6;19.9;0;0;24;2;92;1.6;18.5;0;26;98;98;0;1988;15.89;38
"19-12-2017 00:40:00";22.6;17.6;19.9;0;0;24;2;92;1.6;18.59;0;26;98;98;0;1988;15.91;38
"19-12-2017 00:45:00";22.6;17.6;19.9;0;0;24;2;92;1.6;18.6;0;26;98;98;0;1988;15.92;38
"19-12-2017 00:50:00";22.6;17.6;19.9;0;0;24;2;92;1.5;18.6;0;26;98;98;0;1988;15.93;38
"19-12-2017 00:55:00";22.5;17.6;19.9;0;0;24;2;92;1.5;18.5;0;26;98;98;0;1988;15.94;38
"19-12-2017 01:00:00";22.4;17.6;19.9;0;0;24;2;92;1.5;18.4;0;26;98;98;0;1988;15.95;38
